category,title,xmlUrl
Европа,Bild,https://www.bild.de/feed/alles.xml
Европа,DW English,https://rss.dw.com/rdf/rss-en-world
Европа,DW Turkish,https://rss.dw.com/xml/rss-tur-all
Европа,FAZ,https://www.faz.net/rss/feeds/news/
Европа,NDR,https://www.ndr.de/nachrichten/rss/index.xml
Европа,Le Monde EN,https://www.lemonde.fr/en/rss/une.xml
Европа,Yle,https://yle.fi/rss/uutiset.rss
Европа,NRK,https://www.nrk.no/nyheter/rss
Европа,Aftenposten,https://www.aftenposten.no/rss
Европа,DR,https://www.dr.dk/nyheder/service/feeds/
Европа,SvD,https://www.svd.se/feed/articles.rss
Европа,Telex,https://telex.hu/rss
Европа,Index EN,https://index.hu/english/rss
Европа,HVG,https://hvg.hu/rss
Европа,444,https://444.hu/feed
Европа,24.hu,https://24.hu/feed
Европа,Hirado,https://hirado.hu/rss
Европа,Portfolio,https://portfolio.hu/rss
Европа,ATV,https://www.atv.hu/rss
Европа,Naftemporiki,https://www.naftemporiki.gr/rss
Европа,in.gr,https://www.in.gr/feed/
Европа,Iefimerida,https://www.iefimerida.gr/feed
Европа,TVN24,https://tvn24.pl/najwazniejsze.xml
Европа,Polsat News,https://www.polsatnews.pl/rss/wszystkie.xml
Европа,Rzeczpospolita,https://www.rp.pl/rss_main
Европа,BBC Turkce,https://feeds.bbci.co.uk/turkce/rss.xml
Европа,Hurriyet,https://www.hurriyet.com.tr/rss/anasayfa
Европа,Hurriyet Daily News,https://www.hurriyetdailynews.com/rss
Европа,Daily Sabah,https://www.dailysabah.com/rss
Балканы,B92,https://www.b92.net/rss/rss_vesti.xml
Балканы,Kurir,https://www.kurir.rs/rss/vesti
Балканы,Danas,https://www.danas.rs/feed/
Балканы,Jutarnji list,https://www.jutarnji.hr/feeds/rss/novosti
Балканы,N1,https://n1info.rs/feed/
Балканы,Klix.ba,https://www.klix.ba/rss/sve-vijesti
Ближний Восток,Al Arabiya,https://www.alarabiya.net/tools/mrss/?cat=main
Ближний Восток,Al Arabiya (Google),https://news.google.com/rss/search?q=site:english.alarabiya.net+when:2d&hl=en-US&gl=US&ceid=US:en
Ближний Восток,The National (Google),https://news.google.com/rss/search?q=site:thenationalnews.com+when:2d&hl=en-US&gl=US&ceid=US:en
Ближний Восток,Times of Israel,https://www.timesofisrael.com/feed/
Ближний Восток,Oman Observer,https://www.omanobserver.om/rssFeed/1
Ближний Восток,Asharq Business,https://asharqbusiness.com/rss.xml
Ближний Восток,Asharq,https://asharq.com/snapchat/rss.xml
Ближний Восток,Jordan Times,https://jordantimes.com/rss.xml
Ближний Восток,Roya News,https://en.royanews.tv/rss
Ближний Восток,Cyprus Mail,https://cyprus-mail.com/feed/
Ближний Восток,BBC Persian,http://feeds.bbci.co.uk/persian/tv-and-radio-37434376/rss.xml
Африка,Premium Times,https://www.premiumtimesng.com/feed
Африка,Vanguard,https://www.vanguardngr.com/feed
Африка,Channels TV,https://www.channelstv.com/feed
Африка,Daily Trust,https://dailytrust.com/feed
Африка,ThisDay,https://www.thisdaylive.com/feed
Африка,The East African,https://www.theeastafrican.co.ke/rss
Африка,Nation Africa,https://nation.africa/rss
Африка,Citizen Digital,https://www.citizen.digital/rss
Арктика и Канада,CBC World,https://rss.cbc.ca/lineup/world.xml
Арктика и Канада,Globe and Mail,https://www.theglobeandmail.com/feed/rss
Арктика и Канада,Global News,https://globalnews.ca/feed
Арктика и Канада,Arctic Today,https://www.arctictoday.com/feed
OSINT и разведка,Bellingcat,https://www.bellingcat.com/feed
OSINT и разведка,Oryx,https://www.oryxspioenkop.com/feeds/posts/default
OSINT и разведка,USNI News,https://news.usni.org/feed
OSINT и разведка,Military Times,https://www.militarytimes.com/feeds
OSINT и разведка,Task & Purpose,https://taskandpurpose.com/feed
AI и технологии,Anthropic News,feed_anthropic_news.xml
AI и технологии,Mistral AI,feed_mistral.xml
AI и технологии,FwdStart,https://worldmonitor.app/api/fwdstart
AI и технологии,FwdStart (alt),https://www.fwdstart.me
Разное,ТАСС Антарктида (спецпроект),https://tass.ru/spec/rus_antarktida
Разное,ТАСС English,http://tass.com/rss/v2.xml
Разное,HMN.ru,https://news.hmn.ru/news_out/xml/news_rss.xml
Разное,Новости ЖЖ,https://ru-news.livejournal.com/data/atom
